StartTime,EndTime,FlowID,FlowMeter,FlowType,RecShipID,InService,MeasMass,MeasLiqVol,MeasGasVol,MeasGasLiqVol,RecMass,RecLiqVol,RecGasVol,RecGasLiqVol,ProductDensity,ProductMolecularWeight,LiquidDensity,GasMolecularWeight,Product,ProductDesc,ProductCategory,ProductFamily,ProductGroup,ProductSortIndex,TrackingGroup,PhysicalState,IsCharge,RecShipSrc,RecShipDest,SourceCC,DestinationCC,FlowCC,TankOpenVol,TankOpenMass,TankCloseVol,TankCloseMass,TankStatus,TankDensity,TankCloseRecMass,TankCloseRecVol,OpenFlag,CloseFlag
12/7/2020 0:00,12/7/2020 23:59,TT_120720_0031,TT_120720_0031,R,R_SourCrude_PL,IS,10439800.66,32663,0,0,10261079.45,32103.83501,0,0,23.60000038,,23.52,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/8/2020 0:00,12/8/2020 23:59,TT_120820_0030,TT_120820_0030,R,R_SourCrude_PL,IS,8847948.201,27654,0,0,8691977.315,27166.51762,0,0,23.60000038,,23.36,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/9/2020 0:00,12/9/2020 23:59,TT_120920_0025,TT_120920_0025,R,R_SourCrude_PL,IS,9056756.156,28292,0,0,8867632.004,27701.20343,0,0,23.60000038,,23.28,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/10/2020 0:00,12/10/2020 23:59,TT_121020_0027,TT_121020_0027,R,R_SourCrude_PL,IS,11330784.58,35350,0,0,11077027.79,34558.32465,0,0,23.60000038,,23.08,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/11/2020 0:00,12/11/2020 23:59,TT_121120_0030,TT_121120_0030,R,R_SourCrude_PL,IS,10731444.06,33478,0,0,10505977.99,32774.63213,0,0,23.60000038,,23.07,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/12/2020 0:00,12/12/2020 23:59,TT_121220_0027,TT_121220_0027,R,R_SourCrude_PL,IS,10464211.24,32638,0,0,9831169.698,30663.53587,0,0,23.60000038,,23.04,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/13/2020 0:00,12/13/2020 23:59,TT_121320_0028,TT_121320_0028,R,R_SourCrude_PL,IS,10030529.62,31257,0,0,9791866.181,30513.28025,0,0,23.60000038,,22.9,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/14/2020 0:00,12/14/2020 23:59,TT_121420_0026,TT_121420_0026,R,R_SourCrude_PL,IS,10820549.09,33590,0,0,10346930.18,32119.75492,0,0,23.60000038,,22.31,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/15/2020 0:00,12/15/2020 23:59,TT_121520_0024,TT_121520_0024,R,R_SourCrude_PL,IS,11137487.46,34693,0,0,10761341.81,33521.31553,0,0,23.60000038,,22.84,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
12/16/2020 0:00,12/16/2020 23:59,TT_121620_0027,TT_121620_0027,R,R_SourCrude_PL,IS,12148327.14,37854,0,0,11844309.03,36906.68427,0,0,23.60000038,,22.89,0,ASPH_SOUR,Asphalt Unit Crude,010 Crudes,ASPHALT SOUR,SWC,2,CRU,LIQUID,Y,R_SourCrude_PL,TK776,,West_Plt,West_Plt,0,0,0,0,,0,0,0,N,N
