site,tag,alias,datetime,value,avgvalue,strvalue,quality
mtphd,17R0360_NV_PT,17R0360 Net Volume,2021-04-17T00:00:00.000Z,9294.448242,7801.498559,"""""",0
mtphd,17R0361_MAT_PT,17R0361 Product code,2021-04-17T00:00:00.000Z,"""""","""""",HORS_SERVICE,0
mtphd,17R0361_NV_PT,17R0361 Net Volume,2021-04-17T00:00:00.000Z,253.5785217,253.5785217,"""""",0
mtphd,17R0482_MAT_PT,17R0482 Product code,2021-04-17T00:00:00.000Z,"""""","""""",C9AROM,0
mtphd,17R0482_NV_PT,17R0482 Net Volume,2021-04-17T00:00:00.000Z,29786.20117,30135.3566,"""""",0
mtphd,17R0483_MAT_PT,17R0483 Product code,2021-04-17T00:00:00.000Z,"""""","""""",MANUF_SOLV_LCO,0
mtphd,17R0483_NV_PT,17R0483 Net Volume,2021-04-17T00:00:00.000Z,25553.625,25265.10261,"""""",0
mtphd,17R0484_MAT_PT,17R0484 Product code,2021-04-17T00:00:00.000Z,"""""","""""",05ESS_LE_HT,0
mtphd,17R0484_NV_PT,17R0484 Net Volume,2021-04-17T00:00:00.000Z,8964.056641,7422.460435,"""""",0
mtphd,17R0485_MAT_PT,17R0485 Product code,2021-04-17T00:00:00.000Z,"""""","""""",05ESS_LO_HT,0
mtphd,17R0485_NV_PT,17R0485 Net Volume,2021-04-17T00:00:00.000Z,32606.31055,33396.94735,"""""",0
mtphd,17R0486_MAT_PT,17R0486 Product code,2021-04-17T00:00:00.000Z,"""""","""""",RAFFINAT,0
mtphd,17R0486_NV_PT,17R0486 Net Volume,2021-04-17T00:00:00.000Z,13443.89746,12003.39285,"""""",0
mtphd,17R0487_MAT_PT,17R0487 Product code,2021-04-17T00:00:00.000Z,"""""","""""",ALKYLAT,0
mtphd,17R0487_NV_PT,17R0487 Net Volume,2021-04-17T00:00:00.000Z,18628.73047,18023.10571,"""""",0
mtphd,17R0499_MAT_PT,17R0499 Product code,2021-04-17T00:00:00.000Z,"""""","""""",REJET,0
mtphd,17R0499_NV_PT,17R0499 Net Volume,2021-04-17T00:00:00.000Z,11324.20117,11322.31755,"""""",0
mtphd,17R0501_MAT_PT,17R0501 Product code,2021-04-17T00:00:00.000Z,"""""","""""",DIESEL_SAISN_FTS,0
mtphd,17R0501_NV_PT,17R0501 Net Volume,2021-04-17T00:00:00.000Z,14168.63965,14174.94196,"""""",0
mtphd,17R0571_MAT_PT,17R0571 Product code,2021-04-17T00:00:00.000Z,"""""","""""",GA_S-V_LE_LUB,0
mtphd,17R0571_NV_PT,17R0571 Net Volume,2021-04-17T00:00:00.000Z,435.4107971,456.1382115,"""""",0
mtphd,17R0574_MAT_PT,17R0574 Product code,2021-04-17T00:00:00.000Z,"""""","""""",DIESEL_MARIN,0
mtphd,17R0574_NV_PT,17R0574 Net Volume,2021-04-17T00:00:00.000Z,32842.15625,32966.92115,"""""",0
mtphd,17R0575_MAT_PT,17R0575 Product code,2021-04-17T00:00:00.000Z,"""""","""""",DIESEL_MARIN,0
mtphd,17R0575_NV_PT,17R0575 Net Volume,2021-04-17T00:00:00.000Z,7950.378418,7947.582694,"""""",0
mtphd,17R0576_MAT_PT,17R0576 Product code,2021-04-17T00:00:00.000Z,"""""","""""",DIESEL_SAISN_FTS,0
mtphd,17R0576_NV_PT,17R0576 Net Volume,2021-04-17T00:00:00.000Z,20533.05273,20847.6794,"""""",0
mtphd,17R0602_MAT_PT,17R0602 Product code,2021-04-17T00:00:00.000Z,"""""","""""",GA_S-V_LO_LUB,0
mtphd,17R0602_NV_PT,17R0602 Net Volume,2021-04-17T00:00:00.000Z,33.72909927,5.590354489,"""""",0
