site,tag,alias,datetime,value,avgvalue,strvalue,quality
edphd,TK213.VOLUME,Tank 213 Volume,2021-04-16T00:00:00.000Z,0.072914101,0.072914101,"""""",0
edphd,TK213.VOLUME,Tank 213 Volume,2021-04-17T00:00:00.000Z,0.072971262,0.073174525,"""""",0
edphd,TK214.MATERIAL,Tank 214 Product code,2021-04-16T00:00:00.000Z,"""""","""""",HIT4142C,0
edphd,TK214.MATERIAL,Tank 214 Product code,2021-04-17T00:00:00.000Z,"""""","""""",HIT4142C,0
edphd,TK214.VOLUME,Tank 214 Volume,2021-04-16T00:00:00.000Z,84.60367584,84.60367584,"""""",0
edphd,TK214.VOLUME,Tank 214 Volume,2021-04-17T00:00:00.000Z,84.60616302,84.61583791,"""""",0
edphd,TK215.MATERIAL,Tank 215 Product code,2021-04-16T00:00:00.000Z,"""""","""""",MAINT,0
edphd,TK215.MATERIAL,Tank 215 Product code,2021-04-17T00:00:00.000Z,"""""","""""",MAINT,0
edphd,TK215.VOLUME,Tank 215 Volume,2021-04-16T00:00:00.000Z,7.820491791,7.820491791,"""""",0
edphd,TK215.VOLUME,Tank 215 Volume,2021-04-17T00:00:00.000Z,7.826950073,8.113717541,"""""",0
edphd,TK216.MATERIAL,Tank 216 Product code,2021-04-16T00:00:00.000Z,"""""","""""",HIT4142C,0
edphd,TK216.MATERIAL,Tank 216 Product code,2021-04-17T00:00:00.000Z,"""""","""""",HIT4142C,0
edphd,TK216.VOLUME,Tank 216 Volume,2021-04-16T00:00:00.000Z,468.190033,468.190033,"""""",0
edphd,TK216.VOLUME,Tank 216 Volume,2021-04-17T00:00:00.000Z,450.4295349,457.3451972,"""""",0
edphd,TK275.MATERIAL,Tank 275 Product code,2021-04-16T00:00:00.000Z,"""""","""""",PROP,0
edphd,TK275.MATERIAL,Tank 275 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PROP,0
edphd,TK275.VOLUME,Tank 275 Volume,2021-04-16T00:00:00.000Z,89.875,89.875,"""""",0
edphd,TK275.VOLUME,Tank 275 Volume,2021-04-17T00:00:00.000Z,501.375,167.7869171,"""""",0
edphd,TK276.MATERIAL,Tank 276 Product code,2021-04-16T00:00:00.000Z,"""""","""""",PROP,0
edphd,TK276.MATERIAL,Tank 276 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PROP,0
edphd,TK276.VOLUME,Tank 276 Volume,2021-04-16T00:00:00.000Z,454.75,454.75,"""""",0
edphd,TK276.VOLUME,Tank 276 Volume,2021-04-17T00:00:00.000Z,41.5,945.3824077,"""""",0
edphd,TK277.MATERIAL,Tank 277 Product code,2021-04-16T00:00:00.000Z,"""""","""""",PROP,0
edphd,TK277.MATERIAL,Tank 277 Product code,2021-04-17T00:00:00.000Z,"""""","""""",PROP,0
edphd,TK277.VOLUME,Tank 277 Volume,2021-04-16T00:00:00.000Z,186.1875,186.1875,"""""",0
edphd,TK277.VOLUME,Tank 277 Volume,2021-04-17T00:00:00.000Z,199.3125,191.0542647,"""""",0
edphd,TK281.MATERIAL,Tank 281 Product code,2021-04-16T00:00:00.000Z,"""""","""""",MAINT,0
edphd,TK281.MATERIAL,Tank 281 Product code,2021-04-17T00:00:00.000Z,"""""","""""",MAINT,0
edphd,TK281.VOLUME,Tank 281 Volume,2021-04-16T00:00:00.000Z,0,0,"""""",0
edphd,TK281.VOLUME,Tank 281 Volume,2021-04-17T00:00:00.000Z,0,0,"""""",0
edphd,TK282.MATERIAL,Tank 282 Product code,2021-04-16T00:00:00.000Z,"""""","""""",IBUT,0
edphd,TK282.MATERIAL,Tank 282 Product code,2021-04-17T00:00:00.000Z,"""""","""""",IBUT,0
edphd,TK282.VOLUME,Tank 282 Volume,2021-04-16T00:00:00.000Z,8137.296387,8137.296387,"""""",0
edphd,TK282.VOLUME,Tank 282 Volume,2021-04-17T00:00:00.000Z,8059.338867,7964.494825,"""""",0
