Material,StandardUnit,ToUnit,Factor
102408,L15,M15,1000
102409,L15,KG,1.148105626
102409,L15,L,1
102409,L15,L15,1
102409,L15,M15,1000
102410,L15,KG,1.148105626
102410,L15,L,1
102410,L15,L15,1
102410,L15,M15,1000
102411,L15,KG,1.148105626
102411,L15,L,1
102411,L15,L15,1
102411,L15,M15,1000
102412,L15,KG,1.145475372
102412,L15,L,1
102412,L15,L15,1
102412,L15,M15,1000
102413,L15,KG,1
102413,L15,L,1
102413,L15,L15,1
102413,L15,M15,1000
102414,L15,KG,1.148105626
102414,L15,L15,1
102414,L15,M15,1000
102569,L15,BBL,158.9872958
102569,L15,KG,1.008064516
102569,L15,L15,1
102569,L15,M15,1000
102584,L15,KG,1.063829787
102584,L15,L,1
102584,L15,L15,1
102584,L15,M15,1000
102596,L15,KG,1.145475372
102596,L15,L,1
102596,L15,L15,1
102596,L15,M15,1000
102597,L15,KG,1.145475372
102597,L15,L,1
102597,L15,L15,1
102597,L15,M15,1000
102746,L15,KG,1.136363636
102746,L15,L,1
102746,L15,L15,1
102746,L15,M15,1000
102813,L15,KG,1.136363636
102813,L15,L,1
102813,L15,L15,1
102813,L15,M15,1000
102817,L15,KG,1.136363636
102817,L15,L,1
102817,L15,L15,1
102817,L15,M15,1000
102820,L15,KG,1.145475372
102820,L15,L,1
102820,L15,L15,1
102820,L15,M15,1000
102832,L15,KG,1.008064516
102832,L15,L15,1
102832,L15,M15,1000
102833,L15,KG,1.008064516
102833,L15,L15,1
102833,L15,M15,1000
102834,L15,KG,1.008064516
102834,L15,L15,1
102834,L15,M15,1000
102861,L15,KG,1.145475372
102861,L15,L,1
102861,L15,L15,1
102861,L15,M15,1000
103123,L15,BBL,158.9872958
103123,L15,KG,1.008064516
103123,L15,L15,1
103123,L15,M15,1000
103166,L15,KG,1.145475372
103166,L15,L,1
103166,L15,L15,1
103166,L15,M15,1000
103167,L15,KG,1.233045623
103167,L15,L,1
103167,L15,L15,1
103167,L15,M15,1000
103168,L15,KG,1.223990208
103168,L15,L,1
103168,L15,L15,1
103168,L15,M15,1000
1000000021,EA,EA,1
1000000022,EA,EA,1
1000000023,EA,EA,1
1000000024,EA,EA,1
1000000025,EA,EA,1
1000000026,EA,EA,1
1000000027,EA,EA,1
1000000028,EA,EA,1
1000000029,EA,EA,1
1000000030,CAS,CAS,1
1000000030,CAS,CAR,1
1000000031,EA,EA,1
1000000032,EA,EA,1
1000000033,EA,EA,1
1000000034,EA,EA,1
1000000035,EA,EA,1
1000000036,EA,EA,1
1000000037,EA,EA,1
1000000039,EA,EA,1
1000000040,EA,EA,1
1000000041,EA,EA,1
1000000042,EA,EA,1
1000000043,EA,EA,1
1000000044,EA,EA,1
1000000045,EA,EA,1
1000000046,EA,EA,1
1000000047,EA,EA,1
1000000049,EA,EA,1
1000000050,EA,EA,1
1000000051,EA,EA,1
1000000052,EA,EA,1
1000000053,EA,EA,1
1000000054,EA,EA,1
1000000055,EA,EA,1
1000000056,EA,EA,1
1000000057,EA,EA,1
1000000058,EA,EA,1
1000000059,EA,EA,1
1000000060,EA,EA,1
1000000061,EA,EA,1
1000000062,EA,EA,1
1000000063,EA,EA,1
1000000064,EA,EA,1
1000000065,EA,EA,1
1000000066,EA,EA,1
1000000067,EA,EA,1
1000000068,EA,EA,1
1000000069,EA,EA,1
1000000070,EA,EA,1
1000000071,EA,EA,1
1000000072,EA,EA,1
1000000073,EA,EA,1
1000000074,EA,EA,1
1000000075,EA,EA,1
1000000076,EA,EA,1
1000000077,EA,EA,1
1000000078,EA,EA,1
1000000079,EA,EA,1
1000000080,EA,EA,1
1000000081,EA,EA,1
1000000082,EA,EA,1
1000000083,EA,EA,1
1000000084,EA,EA,1
1000000085,EA,EA,1
1000000086,EA,EA,1
1000000087,EA,EA,1
1000000088,EA,EA,1
1000000089,EA,EA,1
1000000090,EA,EA,1
1000000091,EA,EA,1
1000000092,EA,EA,1
1000000093,EA,EA,1
1000000094,EA,EA,1
1000000095,EA,EA,1
1000000096,EA,EA,1
1000000097,EA,EA,1
1000000098,EA,EA,1
1000000099,EA,EA,1
1000000100,SET,SET,1
1000000101,EA,EA,1
1000000102,EA,EA,1
1000000103,EA,EA,1
1000000104,EA,EA,1
1000000105,EA,EA,1
1000000106,EA,EA,1
1000000107,EA,EA,1
1000000108,EA,EA,1
1000000109,EA,EA,1
1000000110,EA,EA,1
1000000111,EA,EA,1
1000000112,EA,EA,1
1000000113,EA,EA,1
1000000114,EA,EA,1
1000000115,EA,EA,1
1000000116,EA,EA,1
1000000117,EA,EA,1
1000000118,EA,EA,1
1000000119,EA,EA,1
1000000120,EA,EA,1
1000000121,EA,EA,1
1000000122,EA,EA,1
1000000123,EA,EA,1
1000000124,EA,EA,1
1000000125,EA,EA,1
1000000126,EA,EA,1
1000000127,EA,EA,1
1000000128,EA,EA,1
1000000129,EA,EA,1
1000000130,EA,EA,1
1000000131,EA,EA,1
1000000132,EA,EA,1
1000000133,EA,EA,1
1000000134,EA,EA,1
1000000135,EA,EA,1
1000000136,EA,EA,1
1000000137,EA,EA,1
1000000138,EA,EA,1
1000000139,EA,EA,1
1000000140,EA,EA,1
1000000141,EA,EA,1
1000000142,EA,EA,1
1000000143,EA,EA,1
1000000144,EA,EA,1
1000000145,EA,EA,1
1000000146,EA,EA,1
1000000147,EA,EA,1
1000000148,EA,EA,1
1000000149,EA,EA,1
1000000150,EA,EA,1
1000000151,EA,EA,1
1000000152,EA,EA,1
1000000153,EA,EA,1
1000000154,EA,EA,1
1000000155,EA,EA,1
1000000156,EA,EA,1
1000000157,EA,EA,1
1000000158,EA,EA,1
1000000159,EA,EA,1
1000000160,EA,EA,1
1000000161,EA,EA,1
1000000162,EA,EA,1
1000000163,EA,EA,1
1000000164,EA,EA,1
1000000165,EA,EA,1
1000000166,EA,EA,1
1000000167,EA,EA,1
1000000168,EA,EA,1
1000000169,EA,EA,1
1000000170,EA,EA,1
1000000171,EA,EA,1
1000000172,EA,EA,1
1000000173,EA,EA,1
1000000174,EA,EA,1
1000000175,EA,EA,1
1000000176,EA,EA,1
1000000177,EA,EA,1
1000000178,EA,EA,1
1000000179,EA,EA,1
1000000180,EA,EA,1
1000000181,EA,EA,1
1000000182,EA,EA,1
1000000183,EA,EA,1
1000000184,EA,EA,1
1000000185,EA,EA,1
1000000186,EA,EA,1
1000000187,EA,EA,1
1000000188,EA,EA,1
1000000189,EA,EA,1
1000000190,EA,EA,1
1000000191,EA,EA,1
1000000192,EA,EA,1
1000000193,EA,EA,1
1000000194,EA,EA,1
1000000195,EA,EA,1
1000000196,EA,EA,1
1000000197,EA,EA,1
1000000198,EA,EA,1
1000000199,EA,EA,1
1000000200,EA,EA,1
1000000201,EA,EA,1
1000000202,EA,EA,1
1000000203,EA,EA,1
1000000204,EA,EA,1
1000000205,EA,EA,1
1000000206,EA,EA,1
1000000207,EA,EA,1
1000000208,EA,EA,1
1000000209,EA,EA,1
1000000210,EA,EA,1
1000000211,EA,EA,1
1000000212,EA,EA,1
1000000213,EA,EA,1
1000000214,EA,EA,1
1000000215,SET,SET,1
1000000216,EA,EA,1
1000000217,EA,EA,1
1000000218,EA,EA,1
1000000219,EA,EA,1
1000000220,EA,EA,1
1000000221,EA,EA,1
1000000222,EA,EA,1
1000000223,EA,EA,1
1000000224,EA,EA,1
1000000225,EA,EA,1
1000000226,EA,EA,1
1000000227,EA,EA,1
1000000228,EA,EA,1
1000000229,EA,EA,1
1000000230,EA,EA,1
1000000231,EA,EA,1
1000000232,EA,EA,1
1000000233,EA,EA,1
1000000234,EA,EA,1
1000000235,EA,EA,1
1000000236,EA,EA,1
1000000237,EA,EA,1
1000000238,EA,EA,1
1000000239,EA,EA,1
1000000240,EA,EA,1
1000000241,EA,EA,1
1000000242,EA,EA,1
1000000243,EA,EA,1
1000000244,EA,EA,1
1000000245,EA,EA,1
1000000246,EA,EA,1
1000000247,EA,EA,1
1000000248,EA,EA,1
1000000249,EA,EA,1
1000000250,EA,EA,1
1000000251,EA,EA,1
1000000252,EA,EA,1
1000000253,EA,EA,1
1000000254,EA,EA,1
1000000255,EA,EA,1
1000000256,EA,EA,1
1000000257,EA,EA,1
1000000258,EA,EA,1
1000000259,EA,EA,1
1000000260,EA,EA,1
1000000261,EA,EA,1
1000000262,EA,EA,1
1000000263,EA,EA,1
1000000264,EA,EA,1
1000000265,EA,EA,1
1000000266,EA,EA,1
1000000267,EA,EA,1
1000000268,EA,EA,1
1000000269,EA,EA,1
1000000270,EA,EA,1
1000000271,EA,EA,1
1000000272,EA,EA,1
1000000273,EA,EA,1
1000000274,EA,EA,1
1000000275,EA,EA,1
1000000276,EA,EA,1
1000000277,EA,EA,1
1000000278,EA,EA,1
1000000279,EA,EA,1
1000000280,EA,EA,1
1000000281,EA,EA,1
1000000282,EA,EA,1
1000000283,EA,EA,1
1000000284,EA,EA,1
1000000285,SET,SET,1
1000000286,SET,SET,1
1000000287,EA,EA,1
1000000288,EA,EA,1
1000000289,EA,EA,1
1000000290,EA,EA,1
1000000291,EA,EA,1
1000000292,EA,EA,1
1000000293,EA,EA,1
1000000294,EA,EA,1
1000000295,EA,EA,1
1000000296,EA,EA,1
1000000297,EA,EA,1
1000000298,EA,EA,1
1000000299,EA,EA,1
1000000300,EA,EA,1
1000000301,EA,EA,1
1000000302,EA,EA,1
1000000303,EA,EA,1
1000000304,EA,EA,1
1000000305,EA,EA,1
1000000306,EA,EA,1
1000000307,EA,EA,1
1000000308,EA,EA,1
1000000309,EA,EA,1
1000000310,EA,EA,1
1000000311,SET,SET,1
1000000312,EA,EA,1
1000000313,EA,EA,1
1000000314,EA,EA,1
1000000315,EA,EA,1
1000000316,EA,EA,1
1000000317,EA,EA,1
1000000318,EA,EA,1
1000000319,EA,EA,1
1000000320,EA,EA,1
1000000321,EA,EA,1
1000000322,EA,EA,1
1000000323,EA,EA,1
1000000324,EA,EA,1
1000000325,EA,EA,1
1000000326,EA,EA,1
1000000327,EA,EA,1
1000000328,EA,EA,1
1000000329,EA,EA,1
1000000330,EA,EA,1
1000000331,EA,EA,1
1000000332,EA,EA,1
1000000333,EA,EA,1
1000000334,EA,EA,1
1000000335,EA,EA,1
1000000336,EA,EA,1
1000000337,EA,EA,1
1000000338,EA,EA,1
1000000339,EA,EA,1
1000000340,EA,EA,1
1000000341,EA,EA,1
1000000342,EA,EA,1
1000000343,EA,EA,1
1000000344,EA,EA,1
1000000345,EA,EA,1
1000000346,EA,EA,1
1000000347,EA,EA,1
1000000348,EA,EA,1
1000000349,EA,EA,1
1000000350,EA,EA,1
1000000351,SET,SET,1
1000000352,EA,EA,1
1000000353,EA,EA,1
1000000354,EA,EA,1
1000000355,EA,EA,1
1000000356,EA,EA,1
1000000357,SET,SET,1
1000000358,EA,EA,1
1000000359,EA,EA,1
1000000360,EA,EA,1
1000000361,EA,EA,1
1000000362,EA,EA,1
1000000363,EA,EA,1
1000000364,EA,EA,1
1000000365,EA,EA,1
1000000366,EA,EA,1
1000000367,EA,EA,1
1000000368,EA,EA,1
1000000369,EA,EA,1
1000000370,EA,EA,1
1000000371,EA,EA,1
1000000372,EA,EA,1
1000000373,EA,EA,1
1000000374,EA,EA,1
1000000375,EA,EA,1
1000000376,EA,EA,1
1000000377,EA,EA,1
1000000378,EA,EA,1
1000000379,EA,EA,1
1000000380,EA,EA,1
1000000381,EA,EA,1
1000000382,EA,EA,1
1000000383,EA,EA,1
1000000384,EA,EA,1
1000000385,EA,EA,1
1000000386,EA,EA,1
1000000387,EA,EA,1
1000000388,EA,EA,1
1000000389,EA,EA,1
1000000390,EA,EA,1
1000000391,EA,EA,1
1000000392,EA,EA,1
1000000393,EA,EA,1
1000000394,EA,EA,1
1000000395,EA,EA,1
1000000396,EA,EA,1
1000000397,EA,EA,1
1000000398,EA,EA,1
1000000399,EA,EA,1
1000000400,EA,EA,1
1000000401,EA,EA,1
1000000402,EA,EA,1
1000000403,EA,EA,1
1000000405,EA,EA,1
1000000406,EA,EA,1
1000000407,EA,EA,1
1000000408,EA,EA,1
1000000409,EA,EA,1
1000000410,EA,EA,1
1000000411,EA,EA,1
1000000412,EA,EA,1
1000000413,EA,EA,1
1000000414,EA,EA,1
1000000415,EA,EA,1
1000000416,EA,EA,1
1000000417,EA,EA,1
1000000418,EA,EA,1
1000000419,EA,EA,1
1000000420,EA,EA,1
1000000421,EA,EA,1
