Material,StandardUnit,ToUnit,Factor
1000127476,EA,EA,1
1000127491,EA,EA,1
1000127492,EA,EA,1
1000127493,BAG,BAG,1
1000127494,CAS,CAS,1
1000127494,CAS,CAR,1
1000127495,EA,EA,1
1000127496,EA,EA,1
1000127497,EA,EA,1
1000127499,EA,EA,1
1000127500,EA,EA,1
1000127511,EA,EA,1
1000127514,EA,EA,1
1000127514,EA,PKG,6
1000127515,PKG,PKG,1
1000127516,PKG,PKG,1
1000127517,EA,EA,1
1000127519,EA,EA,1
1000127520,EA,EA,1
1000127531,EA,EA,1
1000127546,EA,EA,1
1000127547,EA,EA,1
1000127548,EA,EA,1
1000127551,CAS,CAS,1
1000127551,CAS,CAR,1
1000127552,PKG,PKG,1
1000127583,EA,EA,1
1000127584,EA,EA,1
1000127586,EA,EA,1
1000127587,EA,EA,1
1000127588,EA,EA,1
1000127589,EA,EA,1
1000127591,EA,EA,1
1000127592,BOX,BOX,1
1000127593,EA,EA,1
1000127594,EA,EA,1
1000127601,EA,EA,1
1000127602,EA,EA,1
1000127604,EA,EA,1
1000127605,EA,EA,1
1000127606,EA,EA,1
1000127607,EA,EA,1
1000127608,EA,EA,1
1000127611,EA,EA,1
1000127612,EA,EA,1
1000127613,EA,EA,1
1000127615,EA,EA,1
1000127616,EA,EA,1
1000127617,EA,EA,1
1000127618,EA,EA,1
1000127619,EA,EA,1
1000127620,EA,EA,1
1000127621,EA,EA,1
1000127623,EA,EA,1
1000127631,EA,EA,1
1000127632,EA,EA,1
1000127633,EA,EA,1
1000127634,EA,EA,1
1000127635,EA,EA,1
1000127636,EA,EA,1
1000127637,EA,EA,1
1000127638,EA,EA,1
1000127639,EA,EA,1
1000127640,EA,EA,1
1000127641,EA,EA,1
1000127642,EA,EA,1
1000127643,EA,EA,1
1000127644,EA,EA,1
1000127645,EA,EA,1
1000127646,EA,EA,1
1000127659,EA,EA,1
1000127665,EA,EA,1
1000127668,EA,EA,1
1000127669,EA,EA,1
1000127670,EA,EA,1
1000127671,EA,EA,1
1000127674,EA,EA,1
1000127675,EA,EA,1
1000127676,EA,EA,1
1000127677,EA,EA,1
1000127680,EA,EA,1
1000127683,EA,EA,1
1000127684,EA,EA,1
1000127687,EA,EA,1
1000127691,EA,EA,1
1000127692,EA,EA,1
1000127694,EA,EA,1
1000127698,EA,EA,1
1000127699,EA,EA,1
1000127700,EA,EA,1
1000127701,EA,EA,1
1000127704,EA,EA,1
1000127706,EA,EA,1
1000127707,EA,EA,1
1000127708,EA,EA,1
1000127709,EA,EA,1
1000127711,EA,EA,1
1000127713,EA,EA,1
1000127714,EA,EA,1
1000127715,EA,EA,1
1000127725,EA,EA,1
1000127726,EA,EA,1
1000127731,EA,EA,1
1000127732,EA,EA,1
1000127737,EA,EA,1
1000127738,EA,EA,1
1000127741,EA,EA,1
1000127753,EA,EA,1
1000127758,FT,FT,1
1000127759,FT,FT,1
1000127764,FT,FT,1
1000127765,FT,FT,1
1000127768,FT,FT,1
1000127769,FT,FT,1
1000127773,FT,FT,1
1000127774,FT,FT,1
1000127775,FT,FT,1
1000127777,FT,FT,1
1000127778,FT,FT,1
1000127779,FT,FT,1
1000127780,FT,FT,1
1000127782,EA,EA,1
1000127783,EA,EA,1
1000127784,FT,FT,1
1000127785,FT,FT,1
1000127786,FT,FT,1
1000127788,FT,FT,1
1000127805,FT,FT,1
1000127806,FT,FT,1
1000127807,FT,FT,1
1000127808,FT,FT,1
1000127811,FT,FT,1
1000127818,FT,FT,1
1000127824,FT,FT,1
1000127828,FT,FT,1
1000127840,FT,FT,1
1000127860,EA,EA,1
1000127868,FT,FT,1
1000127881,EA,EA,1
1000127884,EA,EA,1
1000127885,EA,EA,1
1000127887,EA,EA,1
1000127888,EA,EA,1
1000127889,EA,EA,1
1000127890,EA,EA,1
1000127912,FT,FT,1
1000127913,FT,FT,1
1000127914,FT,FT,1
1000127915,FT,FT,1
1000127920,FT,FT,1
1000127932,FT,FT,1
1000127933,FT,FT,1
1000127935,FT,FT,1
1000127938,FT,FT,1
1000127940,FT,FT,1
1000127942,FT,FT,1
1000127943,FT,FT,1
1000127944,FT,FT,1
1000127945,FT,FT,1
1000127946,FT,FT,1
1000127947,FT,FT,1
1000127948,FT,FT,1
1000127950,FT,FT,1
1000127951,FT,FT,1
1000127952,FT,FT,1
1000127954,FT,FT,1
1000127955,FT,FT,1
1000127956,EA,EA,1
1000127957,EA,EA,1
1000127958,EA,EA,1
1000127960,EA,EA,1
1000127964,EA,EA,1
1000127965,EA,EA,1
1000127978,EA,EA,1
1000127979,EA,EA,1
1000127984,EA,EA,1
1000127985,EA,EA,1
1000127987,EA,EA,1
1000127991,EA,EA,1
1000127993,EA,EA,1
1000127998,EA,EA,1
1000128000,EA,EA,1
1000128003,EA,EA,1
1000128004,EA,EA,1
1000128006,EA,EA,1
1000128008,EA,EA,1
1000128010,EA,EA,1
1000128012,EA,EA,1
1000128014,EA,EA,1
1000128016,EA,EA,1
1000128030,EA,EA,1
1000128033,EA,EA,1
1000128036,EA,EA,1
1000128038,EA,EA,1
1000128039,EA,EA,1
1000128045,CAN,CYL,1
1000128045,CAN,CAN,1
1000128045,CAN,M3,0.09718173
1000128057,EA,EA,1
1000128073,EA,EA,1
1000128077,EA,EA,1
1000128087,EA,EA,1
1000128090,EA,EA,1
1000128095,EA,EA,1
1000128096,EA,EA,1
1000128098,KG,KG,1
1000128102,EA,EA,1
1000128104,EA,EA,1
1000128110,EA,EA,1
1000128153,EA,EA,1
1000128171,EA,EA,1
1000128172,EA,EA,1
1000128174,EA,EA,1
1000128181,EA,EA,1
1000128182,EA,EA,1
1000128192,EA,EA,1
1000128192,EA,PKG,50
1000128202,EA,EA,1
1000128203,EA,EA,1
1000128204,EA,EA,1
1000128208,EA,EA,1
1000128209,EA,EA,1
1000128212,EA,EA,1
1000128221,CM,CM,1
1000128222,EA,EA,1
1000128223,EA,EA,1
1000128225,EA,EA,1
1000128226,EA,EA,1
1000128227,EA,EA,1
1000128228,EA,EA,1
1000128229,EA,EA,1
1000128231,EA,EA,1
1000128232,EA,EA,1
1000128233,EA,EA,1
1000128234,EA,EA,1
1000128239,EA,EA,1
1000128240,EA,EA,1
1000128242,SET,SET,1
1000128244,EA,EA,1
1000128245,EA,EA,1
1000128246,EA,EA,1
1000128247,EA,EA,1
1000128249,M,M,1
1000128257,EA,EA,1
1000128258,EA,EA,1
1000128259,EA,EA,1
1000128261,EA,EA,1
1000128262,EA,EA,1
1000128263,EA,EA,1
1000128264,EA,EA,1
1000128265,EA,EA,1
1000128266,EA,EA,1
1000128267,EA,EA,1
1000128271,EA,EA,1
1000128272,EA,EA,1
1000128273,EA,BOX,1
1000128273,EA,EA,1
1000128274,EA,EA,1
1000128277,EA,EA,1
1000128280,EA,EA,1
1000128284,EA,EA,1
1000128285,EA,EA,1
1000128286,EA,EA,1
1000128287,EA,EA,1
1000128291,EA,EA,1
1000128296,EA,EA,1
1000128315,EA,EA,1
1000128336,EA,EA,1
1000128341,EA,EA,1
1000128342,PAA,PAA,1
1000128343,EA,EA,1
1000128344,EA,EA,1
1000128347,EA,EA,1
1000128349,FT,FT,1
1000128359,FT,FT,1
1000128360,FT,FT,1
1000128362,EA,EA,1
1000128363,FT,FT,1
1000128364,FT,FT,1
1000128365,FT,FT,1
1000128370,FT,FT,1
1000128372,EA,EA,1
1000128373,EA,EA,1
1000128374,EA,EA,1
1000128375,EA,EA,1
1000128376,EA,EA,1
1000128377,EA,EA,1
1000128378,EA,EA,1
1000128379,EA,EA,1
1000128380,EA,EA,1
1000128381,EA,EA,1
1000128385,FT,FT,1
1000128392,EA,EA,1
1000128393,EA,EA,1
1000128402,EA,EA,1
1000128403,EA,EA,1
1000128405,EA,EA,1
1000128411,EA,EA,1
1000128412,EA,EA,1
1000128413,EA,EA,1
1000128414,EA,EA,1
1000128415,EA,EA,1
1000128416,EA,EA,1
1000128417,EA,EA,1
1000128419,GAL,GAL,1
1000128419,GAL,USG,1.000017907
1000128420,EA,EA,1
1000128425,EA,EA,1
1000128437,EA,EA,1
1000128439,EA,EA,1
1000128440,EA,EA,1
1000128446,EA,EA,1
1000128448,EA,EA,1
1000128454,EA,EA,1
1000128472,EA,EA,1
1000128473,EA,EA,1
1000128475,EA,EA,1
1000128482,EA,EA,1
1000128483,EA,EA,1
1000128518,EA,EA,1
1000128519,EA,EA,1
1000128520,EA,EA,1
1000128551,EA,EA,1
1000128552,EA,EA,1
1000128553,EA,EA,1
1000128571,EA,EA,1
1000128605,EA,EA,1
1000128621,FT,FT,1
1000128646,EA,EA,1
1000128659,FT,FT,1
1000128671,EA,EA,1
1000128681,EA,EA,1
1000128682,EA,EA,1
1000128683,EA,EA,1
1000128710,FT,FT,1
1000128713,FT,FT,1
1000128721,EA,EA,1
1000128722,EA,EA,1
1000128723,EA,EA,1
1000128724,EA,EA,1
1000128725,EA,EA,1
1000128726,EA,EA,1
1000128727,EA,EA,1
1000128728,EA,EA,1
1000128729,EA,EA,1
1000128730,EA,EA,1
1000128732,FT,FT,1
1000128741,EA,EA,1
1000128742,EA,EA,1
1000128743,EA,EA,1
1000128744,EA,EA,1
1000128745,EA,EA,1
1000128756,EA,EA,1
1000128757,EA,EA,1
1000128762,EA,EA,1
1000128764,EA,EA,1
1000128771,EA,EA,1
1000128772,EA,EA,1
1000128773,EA,EA,1
1000128777,EA,EA,1
1000128780,EA,EA,1
1000128781,EA,EA,1
1000128782,EA,EA,1
1000128783,EA,EA,1
1000128784,EA,EA,1
1000128791,EA,EA,1
1000128801,EA,EA,1
1000128803,EA,EA,1
1000128808,EA,EA,1
1000128810,PKG,PKG,1
1000128813,EA,EA,1
1000128814,FT,FT,1
1000128821,CAS,CAS,1
1000128821,CAS,CAR,1
1000128823,EA,EA,1
1000128826,EA,EA,1
1000128827,PAA,PAA,1
1000128829,EA,EA,1
1000128830,EA,EA,1
1000128831,PKG,PKG,1
1000128833,PAA,PAA,1
1000128923,EA,EA,1
1000128924,EA,EA,1
1000128925,EA,EA,1
1000128927,EA,EA,1
1000128943,EA,EA,1
1000128946,EA,EA,1
1000128947,EA,EA,1
1000128948,EA,EA,1
1000128952,EA,EA,1
1000128956,EA,EA,1
1000128958,EA,EA,1
1000128959,EA,EA,1
1000128972,EA,EA,1
1000129037,EA,EA,1
1000129041,EA,EA,1
1000129042,EA,EA,1
1000129043,EA,EA,1
1000129044,EA,EA,1
1000129047,EA,EA,1
1000129049,EA,EA,1
1000129051,EA,EA,1
1000129052,EA,EA,1
1000129053,EA,EA,1
1000129054,EA,EA,1
1000129055,EA,EA,1
1000129057,EA,EA,1
1000129059,EA,EA,1
1000129062,EA,EA,1
1000129063,EA,EA,1
1000129064,EA,EA,1
1000129067,EA,EA,1
1000129074,EA,EA,1
1000129075,EA,EA,1
1000129079,EA,EA,1
1000129080,EA,EA,1
1000129083,EA,EA,1
1000129087,EA,EA,1
1000129108,EA,EA,1
1000129122,EA,EA,1
1000129123,EA,EA,1
1000129125,EA,EA,1
1000129128,EA,EA,1
1000129129,EA,EA,1
1000129130,EA,EA,1
1000129149,EA,EA,1
1000129151,EA,EA,1
1000129153,EA,EA,1
1000129155,EA,EA,1
1000129156,EA,EA,1
1000129161,EA,EA,1
1000129165,EA,EA,1
1000129166,EA,EA,1
1000129167,EA,EA,1
1000129169,EA,EA,1
1000129173,EA,EA,1
1000129174,EA,EA,1
1000129183,EA,EA,1
1000129185,EA,EA,1
1000129196,EA,EA,1
1000129201,EA,EA,1
1000129206,EA,EA,1
1000129209,EA,EA,1
1000129213,EA,EA,1
1000129214,EA,EA,1
1000129215,EA,EA,1
1000129218,EA,EA,1
1000129219,EA,EA,1
1000129221,EA,EA,1
1000129222,EA,EA,1
1000129223,EA,EA,1
1000129224,EA,EA,1
1000129225,EA,EA,1
1000129233,EA,EA,1
1000129237,EA,EA,1
1000129238,EA,EA,1
1000129240,EA,EA,1
1000129241,EA,EA,1
1000129242,EA,EA,1
1000129245,EA,EA,1
1000129247,EA,EA,1
1000129250,EA,EA,1
1000129254,EA,EA,1
1000129257,EA,EA,1
1000129261,EA,EA,1
1000129262,EA,EA,1
1000129263,EA,EA,1
1000129264,EA,EA,1
1000129265,EA,EA,1
1000129266,EA,EA,1
1000129267,EA,EA,1
1000129268,EA,EA,1
1000129269,EA,EA,1
1000129288,EA,EA,1
1000129294,EA,EA,1
1000129298,DR,DR,1
1000129299,BAG,BAG,1
1000129300,EA,EA,1
1000129302,BAG,BAG,1
1000129303,BAG,BAG,1
1000129305,EA,EA,1
1000129311,EA,EA,1
1000129312,EA,EA,1
1000129313,EA,EA,1
1000129314,EA,EA,1
1000129315,EA,EA,1
1000129316,EA,EA,1
1000129317,EA,EA,1
1000129318,EA,EA,1
1000129319,EA,EA,1
1000129320,EA,EA,1
1000129321,EA,EA,1
1000129322,EA,EA,1
1000129323,EA,EA,1
1000129324,EA,EA,1
1000129325,EA,EA,1
1000129326,EA,EA,1
1000129327,EA,EA,1
1000129328,EA,EA,1
1000129329,EA,EA,1
1000129330,EA,EA,1
1000129331,EA,EA,1
1000129341,EA,EA,1
1000129342,EA,EA,1
1000129343,EA,EA,1
1000129344,EA,EA,1
1000129345,EA,EA,1
1000129346,EA,EA,1
1000129347,EA,EA,1
1000129348,EA,EA,1
1000129349,EA,EA,1
1000129350,EA,EA,1
1000129389,EA,EA,1
1000129390,EA,EA,1
1000129391,EA,EA,1
1000129392,EA,EA,1
1000129393,EA,EA,1
1000129395,EA,EA,1
1000129400,EA,EA,1
1000129401,PKG,PKG,1
1000129402,PKG,PKG,1
1000129403,PKG,PKG,1
1000129404,PKG,PKG,1
1000129406,EA,EA,1
1000129409,EA,EA,1
1000129410,EA,EA,1
1000129427,EA,EA,1
1000129436,EA,EA,1
1000129451,EA,EA,1
1000129456,EA,EA,1
1000129457,EA,EA,1
1000129458,EA,EA,1
1000129459,EA,EA,1
1000129460,EA,EA,1
1000129461,EA,EA,1
1000129463,EA,EA,1
1000129467,PKG,PKG,1
1000129468,PKG,PKG,1
1000129470,EA,EA,1
1000129473,EA,EA,1
1000129474,EA,EA,1
1000129475,EA,EA,1
1000129481,EA,EA,1
1000129486,EA,EA,1
1000129492,EA,EA,1
1000129494,EA,EA,1
1000129496,EA,EA,1
1000129501,EA,EA,1
1000129502,EA,EA,1
1000129504,EA,EA,1
1000129507,EA,EA,1
1000129508,EA,EA,1
1000129509,EA,EA,1
1000129510,EA,EA,1
1000129511,EA,EA,1
1000129512,EA,EA,1
1000129513,EA,EA,1
1000129536,EA,EA,1
1000129538,EA,EA,1
1000129539,EA,EA,1
1000129541,EA,EA,1
1000129548,EA,EA,1
1000129558,EA,EA,1
1000129559,EA,EA,1
1000129561,EA,EA,1
1000129562,EA,EA,1
1000129563,EA,EA,1
1000129565,EA,EA,1
1000129566,EA,EA,1
1000129567,EA,EA,1
1000129570,EA,EA,1
1000129571,EA,EA,1
1000129572,EA,EA,1
1000129573,EA,EA,1
1000129581,EA,EA,1
1000129583,EA,EA,1
1000129585,EA,EA,1
1000129594,EA,EA,1
1000129596,EA,EA,1
1000129597,EA,EA,1
1000129598,EA,EA,1
1000129603,EA,EA,1
1000129604,EA,EA,1
1000129605,EA,EA,1
1000129606,EA,EA,1
1000129608,EA,EA,1
1000129609,EA,EA,1
1000129613,EA,EA,1
1000129614,EA,EA,1
1000129617,EA,EA,1
1000129618,EA,EA,1
1000129621,EA,EA,1
1000129623,EA,EA,1
1000129624,EA,EA,1
1000129632,EA,EA,1
1000129673,EA,EA,1
1000129681,EA,EA,1
1000129683,BOX,BOX,1
1000129685,EA,EA,1
1000129691,EA,EA,1
1000129694,BAG,BAG,1
1000129699,EA,EA,1
1000129704,EA,EA,1
1000129706,EA,EA,1
1000129707,EA,EA,1
1000129718,EA,EA,1
1000129719,EA,EA,1
1000129783,EA,EA,1
1000129785,EA,EA,1
1000129796,EA,EA,1
1000129798,EA,EA,1
1000129799,EA,EA,1
1000129800,EA,EA,1
1000129801,EA,EA,1
1000129802,EA,EA,1
1000129806,EA,EA,1
1000129814,EA,EA,1
1000129819,EA,EA,1
1000129820,EA,EA,1
1000129821,EA,EA,1
1000129822,EA,EA,1
1000129825,EA,EA,1
1000129826,EA,EA,1
1000129827,EA,EA,1
1000129828,EA,EA,1
1000129829,EA,EA,1
1000129830,L,L,1
1000129833,EA,EA,1
1000129835,EA,EA,1
1000129836,EA,EA,1
1000129837,EA,EA,1
1000129838,EA,EA,1
1000129839,EA,EA,1
1000129841,EA,EA,1
1000129851,DR,DR,1
1000129852,EA,EA,1
1000129853,EA,EA,1
1000129856,EA,EA,1
1000129857,EA,EA,1
1000129859,EA,EA,1
1000129860,EA,EA,1
1000129861,EA,EA,1
1000129873,EA,EA,1
1000129881,EA,EA,1
1000129882,EA,EA,1
1000129883,EA,EA,1
1000129889,EA,EA,1
1000129910,DR,DR,1
1000129932,EA,EA,1
1000129933,EA,EA,1
1000129934,EA,EA,1
1000129935,EA,EA,1
1000129936,EA,EA,1
1000129972,EA,EA,1
1000129973,EA,EA,1
1000129974,EA,EA,1
1000129975,EA,EA,1
1000129976,EA,EA,1
1000129978,EA,EA,1
1000129980,EA,EA,1
1000130010,EA,EA,1
1000130013,EA,EA,1
1000130014,EA,EA,1
1000130045,EA,EA,1
1000130048,EA,EA,1
1000130049,EA,EA,1
1000130051,EA,EA,1
1000130052,EA,EA,1
1000130054,EA,EA,1
1000130055,EA,EA,1
1000130060,EA,EA,1
1000130081,EA,EA,1
1000130082,EA,EA,1
1000130084,EA,EA,1
1000130085,EA,EA,1
1000130086,EA,EA,1
1000130087,EA,EA,1
1000130089,EA,EA,1
1000130090,EA,EA,1
1000130107,EA,EA,1
1000130110,EA,EA,1
1000130111,EA,EA,1
1000130113,EA,EA,1
1000130114,EA,EA,1
1000130115,EA,EA,1
1000130116,EA,EA,1
1000130117,EA,EA,1
1000130118,EA,EA,1
1000130119,EA,EA,1
1000130120,EA,EA,1
1000130121,EA,EA,1
1000130122,EA,EA,1
1000130124,EA,EA,1
1000130125,EA,EA,1
1000130126,EA,EA,1
1000130127,EA,EA,1
1000130128,EA,EA,1
1000130129,EA,EA,1
1000130138,FT,FT,1
1000130140,EA,EA,1
1000130142,EA,EA,1
1000130143,EA,EA,1
1000130144,EA,EA,1
1000130145,EA,EA,1
1000130146,EA,EA,1
1000130147,EA,EA,1
1000130148,EA,EA,1
1000130149,EA,EA,1
1000130161,EA,EA,1
1000130162,EA,EA,1
1000130163,EA,EA,1
1000130164,EA,EA,1
1000130165,EA,EA,1
1000130169,EA,EA,1
1000130175,EA,EA,1
1000130187,EA,EA,1
1000130189,EA,EA,1
1000130190,EA,EA,1
1000130191,EA,EA,1
1000130192,EA,EA,1
1000130193,EA,EA,1
1000130194,EA,EA,1
1000130195,EA,EA,1
1000130196,EA,EA,1
1000130197,EA,EA,1
1000130198,EA,EA,1
1000130199,EA,EA,1
1000130200,EA,EA,1
1000130201,EA,EA,1
1000130202,EA,EA,1
1000130203,EA,EA,1
1000130204,EA,EA,1
1000130205,EA,EA,1
1000130206,EA,EA,1
1000130207,EA,EA,1
1000130208,EA,EA,1
1000130209,EA,EA,1
1000130210,EA,EA,1
1000130211,EA,EA,1
1000130212,EA,EA,1
1000130213,EA,EA,1
1000130222,EA,EA,1
1000130226,EA,EA,1
1000130227,EA,EA,1
1000130228,EA,EA,1
1000130229,EA,EA,1
1000130230,EA,EA,1
1000130231,EA,EA,1
1000130232,EA,EA,1
1000130233,EA,EA,1
1000130234,EA,EA,1
1000130235,EA,EA,1
1000130236,EA,EA,1
1000130237,EA,EA,1
1000130243,EA,EA,1
1000130255,EA,EA,1
1000130261,EA,EA,1
1000130262,EA,EA,1
1000130263,EA,EA,1
1000130264,EA,EA,1
1000130265,EA,EA,1
1000130266,EA,EA,1
1000130268,EA,EA,1
1000130269,EA,EA,1
1000130270,EA,EA,1
1000130274,EA,EA,1
1000130277,EA,EA,1
1000130279,EA,EA,1
1000130279,EA,L,0.000833333
1000130280,EA,EA,1
1000130280,EA,L,0.004878049
1000130281,EA,EA,1
1000130282,EA,EA,1
1000130283,EA,EA,1
1000130285,EA,EA,1
1000130286,EA,EA,1
1000130287,EA,EA,1
1000130288,EA,EA,1
1000130290,EA,EA,1
1000130291,EA,EA,1
1000130292,EA,EA,1
1000130293,EA,EA,1
1000130294,EA,EA,1
1000130296,EA,EA,1
1000130299,EA,EA,1
1000130300,EA,EA,1
1000130303,EA,EA,1
1000130311,EA,EA,1
1000130312,EA,EA,1
1000130368,EA,EA,1
1000130369,EA,EA,1
1000130370,EA,EA,1
1000130392,EA,EA,1
1000130411,EA,EA,1
1000130412,EA,EA,1
1000130413,EA,EA,1
1000130414,EA,EA,1
1000130415,EA,EA,1
1000130416,EA,EA,1
1000130417,EA,EA,1
1000130418,EA,EA,1
1000130419,EA,EA,1
1000130429,EA,EA,1
1000130430,EA,EA,1
1000130433,EA,EA,1
1000130444,EA,EA,1
1000130445,EA,EA,1
1000130446,EA,EA,1
1000130447,EA,EA,1
1000130454,EA,EA,1
1000130455,EA,EA,1
1000130457,EA,EA,1
1000130458,EA,EA,1
1000130459,EA,EA,1
1000130460,EA,EA,1
1000130461,EA,EA,1
1000130462,EA,EA,1
1000130464,EA,EA,1
1000130465,EA,EA,1
1000130471,EA,EA,1
1000130477,EA,EA,1
1000130478,EA,EA,1
1000130479,EA,EA,1
1000130480,EA,EA,1
1000130481,EA,EA,1
1000130504,EA,EA,1
1000130505,EA,EA,1
1000130506,EA,EA,1
1000130507,EA,EA,1
1000130508,EA,EA,1
1000130510,EA,EA,1
1000130521,EA,EA,1
1000130524,EA,EA,1
1000130525,EA,EA,1
1000130527,EA,EA,1
1000130529,EA,EA,1
1000130534,EA,EA,1
1000130570,PKG,PKG,1
1000130584,EA,EA,1
1000130585,EA,EA,1
1000130612,EA,EA,1
1000130617,EA,EA,1
1000130618,EA,EA,1
1000130619,EA,EA,1
1000130621,EA,EA,1
1000130626,EA,EA,1
1000130632,EA,EA,1
1000130633,EA,EA,1
1000130634,EA,EA,1
1000130635,EA,EA,1
1000130637,EA,EA,1
1000130638,EA,EA,1
1000130639,EA,EA,1
1000130641,EA,EA,1
1000130644,EA,EA,1
1000130645,EA,EA,1
1000130646,EA,EA,1
1000130647,EA,EA,1
1000130648,EA,EA,1
1000130649,EA,EA,1
1000130650,EA,EA,1
1000130651,EA,EA,1
1000130652,EA,EA,1
1000130654,EA,EA,1
1000130655,EA,EA,1
1000130656,EA,EA,1
1000130657,EA,EA,1
1000130660,EA,EA,1
1000130663,EA,EA,1
1000130664,EA,EA,1
1000130665,EA,EA,1
1000130667,EA,EA,1
1000130668,EA,EA,1
1000130669,EA,EA,1
1000130670,EA,EA,1
1000130671,EA,EA,1
1000130672,EA,EA,1
1000130673,EA,EA,1
1000130681,EA,EA,1
1000130682,EA,EA,1
1000130684,EA,EA,1
1000130685,EA,EA,1
1000130686,EA,EA,1
1000130687,EA,EA,1
1000130690,EA,EA,1
1000130692,EA,EA,1
1000130693,EA,EA,1
1000130694,EA,EA,1
1000130695,EA,EA,1
1000130696,EA,EA,1
1000130700,EA,EA,1
1000130701,EA,EA,1
1000130710,EA,EA,1
1000130714,EA,EA,1
1000130715,EA,EA,1
1000130716,EA,EA,1
1000130717,EA,EA,1
1000130718,EA,EA,1
1000130720,EA,EA,1
1000130722,EA,EA,1
1000130723,EA,EA,1
1000130724,EA,EA,1
1000130725,EA,EA,1
1000130726,EA,EA,1
1000130727,EA,EA,1
1000130729,EA,EA,1
1000130730,EA,EA,1
1000130738,EA,EA,1
1000130739,EA,EA,1
1000130742,EA,EA,1
1000130745,EA,EA,1
1000130747,EA,EA,1
1000130748,EA,EA,1
1000130749,EA,EA,1
1000130750,EA,EA,1
1000130752,EA,EA,1
1000130753,EA,EA,1
1000130754,EA,EA,1
1000130756,EA,EA,1
1000130757,EA,EA,1
1000130758,EA,EA,1
1000130760,EA,EA,1
1000130761,EA,EA,1
1000130763,EA,EA,1
1000130764,EA,EA,1
1000130765,EA,EA,1
1000130769,EA,EA,1
1000130770,EA,EA,1
1000130771,EA,EA,1
1000130774,EA,EA,1
1000130809,EA,EA,1
1000130811,BBL,BBL,1
1000130813,EA,EA,1
1000130817,PKG,PKG,1
1000130818,EA,EA,1
1000130819,EA,EA,1
1000130822,EA,EA,1
1000130832,EA,EA,1
1000130833,EA,EA,1
1000130835,EA,EA,1
1000130836,EA,EA,1
1000130837,EA,EA,1
1000130838,EA,EA,1
1000130839,EA,EA,1
1000130840,EA,EA,1
1000130842,EA,EA,1
1000130843,EA,EA,1
1000130844,EA,EA,1
1000130845,EA,EA,1
1000130846,EA,EA,1
1000130847,EA,EA,1
1000130848,EA,EA,1
1000130849,EA,EA,1
1000130851,EA,EA,1
1000130852,EA,EA,1
1000130854,EA,EA,1
1000130855,EA,EA,1
1000130856,EA,EA,1
1000130857,EA,EA,1
1000130858,EA,EA,1
1000130860,EA,EA,1
1000130862,EA,EA,1
1000130863,EA,EA,1
1000130864,EA,EA,1
1000130867,EA,EA,1
1000130876,EA,EA,1
1000130877,EA,EA,1
1000130878,EA,EA,1
1000130879,EA,EA,1
1000130880,EA,EA,1
1000130882,EA,EA,1
1000130883,EA,EA,1
1000130885,EA,EA,1
1000130886,EA,EA,1
1000130887,EA,EA,1
1000130888,EA,EA,1
1000130890,EA,EA,1
1000130891,EA,EA,1
1000130895,EA,EA,1
1000130896,EA,EA,1
1000130898,EA,EA,1
1000130899,EA,EA,1
1000130901,EA,EA,1
1000130902,EA,EA,1
1000130903,EA,CAS,86
1000130903,EA,EA,1
1000130904,EA,EA,1
1000130905,EA,EA,1
1000130906,EA,EA,1
1000130907,EA,EA,1
1000130908,EA,EA,1
1000130909,EA,EA,1
1000130910,EA,EA,1
1000130911,EA,EA,1
1000130912,EA,EA,1
1000130913,EA,EA,1
1000130921,EA,EA,1
1000130923,EA,EA,1
1000130924,EA,EA,1
1000130925,EA,EA,1
1000130926,EA,EA,1
1000130927,EA,EA,1
1000130929,EA,EA,1
1000130931,EA,EA,1
1000130932,EA,EA,1
1000130933,EA,EA,1
1000130934,EA,EA,1
1000130935,EA,EA,1
1000130939,SET,SET,1
1000130940,EA,EA,1
1000130941,EA,EA,1
1000130942,EA,EA,1
1000130943,EA,EA,1
1000130944,EA,EA,1
1000130945,EA,EA,1
1000130947,EA,EA,1
1000130948,EA,EA,1
1000130952,EA,EA,1
1000130954,EA,EA,1
1000130955,EA,EA,1
1000130957,EA,EA,1
1000130958,EA,EA,1
1000130960,EA,EA,1
1000130962,EA,EA,1
1000130963,EA,EA,1
1000130964,EA,EA,1
1000130965,EA,EA,1
1000130967,EA,EA,1
1000130970,EA,EA,1
1000130971,EA,EA,1
1000130974,EA,EA,1
1000130975,EA,EA,1
1000130977,EA,EA,1
1000130979,EA,EA,1
1000130980,EA,EA,1
1000130981,EA,EA,1
1000130982,ROL,ROL,1
1000130984,ROL,ROL,1
1000130985,EA,EA,1
1000130987,EA,EA,1
1000130988,EA,EA,1
1000130989,EA,EA,1
1000130991,EA,EA,1
1000130992,EA,EA,1
1000130994,EA,EA,1
1000130995,EA,EA,1
1000130996,EA,EA,1
1000130997,EA,EA,1
1000131001,EA,EA,1
1000131006,EA,EA,1
1000131007,EA,EA,1
1000131008,EA,EA,1
1000131009,EA,EA,1
1000131010,EA,EA,1
1000131011,EA,EA,1
1000131012,EA,EA,1
1000131013,EA,EA,1
1000131014,EA,EA,1
1000131015,EA,EA,1
1000131019,EA,EA,1
1000131020,EA,EA,1
1000131022,EA,EA,1
1000131023,EA,EA,1
1000131024,EA,EA,1
1000131025,EA,EA,1
1000131026,EA,EA,1
1000131030,EA,EA,1
1000131031,EA,EA,1
